ind,hap
ind0,h1
ind0,h2
ind100,h1
ind100,h2
ind101,h1
ind101,h2
ind102,h1
ind102,h2
ind103,h1
ind103,h2
ind104,h1
ind104,h2
ind105,h1
ind105,h2
ind106,h1
ind106,h2
ind107,h1
ind107,h2
ind108,h1
ind108,h2
ind109,h1
ind109,h2
ind10,h1
ind10,h2
ind110,h1
ind110,h2
ind111,h1
ind111,h2
ind112,h1
ind112,h2
ind113,h1
ind113,h2
ind114,h1
ind114,h2
ind115,h1
ind115,h2
ind116,h1
ind116,h2
ind117,h1
ind117,h2
ind118,h1
ind118,h2
ind119,h1
ind119,h2
ind11,h1
ind11,h2
ind120,h1
ind120,h2
ind121,h1
ind121,h2
ind122,h1
ind122,h2
ind123,h1
ind123,h2
ind124,h1
ind124,h2
ind125,h1
ind125,h2
ind126,h1
ind126,h2
ind127,h1
ind127,h2
ind128,h1
ind128,h2
ind129,h1
ind129,h2
ind12,h1
ind12,h2
ind130,h1
ind130,h2
ind131,h1
ind131,h2
ind132,h1
ind132,h2
ind133,h1
ind133,h2
ind134,h1
ind134,h2
ind135,h1
ind135,h2
ind136,h1
ind136,h2
ind137,h1
ind137,h2
ind138,h1
ind138,h2
ind139,h1
ind139,h2
ind13,h1
ind13,h2
ind140,h1
ind140,h2
ind141,h1
ind141,h2
ind142,h1
ind142,h2
ind143,h1
ind143,h2
ind144,h1
ind144,h2
ind145,h1
ind145,h2
ind146,h1
ind146,h2
ind147,h1
ind147,h2
ind148,h1
ind148,h2
ind149,h1
ind149,h2
ind14,h1
ind14,h2
ind150,h1
ind150,h2
ind151,h1
ind151,h2
ind152,h1
ind152,h2
ind153,h1
ind153,h2
ind154,h1
ind154,h2
ind155,h1
ind155,h2
ind156,h1
ind156,h2
ind157,h1
ind157,h2
ind158,h1
ind158,h2
ind159,h1
ind159,h2
ind15,h1
ind15,h2
ind160,h1
ind160,h2
ind161,h1
ind161,h2
ind162,h1
ind162,h2
ind163,h1
ind163,h2
ind164,h1
ind164,h2
ind165,h1
ind165,h2
ind166,h1
ind166,h2
ind167,h1
ind167,h2
