bamorder	seq_id	seq_key	ID	Site	habitat	Description	Site.class	Agric_eco.activity	Insecticide	Lat	long	Form	species	Ace.1	Duplitype	Ace.A	Ace.1B	Fam	Hex	FAM.HEX	X	VSGC	kdr_A	kdr_B	NY_Gene	bamid	phaseid
0	DW-Nsa4	Nsa4	Nsa4	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GG		100	100	26.584	2362.864	0.011250753		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa4.srt.dp.rg.bam	ind0
1	DW-Nsa1	Nsa1	Nsa1	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	M	An. gambiae	GG		100	100	32.11	2185.253	0.014693951		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa1.srt.dp.rg.bam	ind1
2	DW-Nsa18	Nsa18	Nsa18	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	M	An. gambiae	GG		NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa18.srt.dp.rg.bam	ind2
3	DW-Nsa16	Nsa16	Nsa16	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	M	An. gambiae	GG		100	100	34.352	2253.343	0.015244905		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa16.srt.dp.rg.bam	ind3
4	DW-Nsa15	Nsa15	Nsa15	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	M	An. gambiae	GS		100	200	547.148	1311.004	0.417350367		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa15.srt.dp.rg.bam	ind4
5	DW-Nsa10	Nsa10	Nsa10	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GG		100	100	28.774	2019.555	0.014247693		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa10.srt.dp.rg.bam	ind5
6	DW-Nkw8	Nkw8	Nkw8	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	36.251	2476.717	0.014636715		LL	111	111	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw8.srt.dp.rg.bam	ind6
7	DW-Nkw2	Nkw2	Nkw2	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	26.491	2064.111	0.012834097		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw2.srt.dp.rg.bam	ind7
8	DW-Nkw1	Nkw1	Nkw1	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	28.452	2268.551	0.012541927		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw1.srt.dp.rg.bam	ind8
9	DW-Man9	Man9	Man9	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	31.969	2025.141	0.015786061		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man9.srt.dp.rg.bam	ind9
10	DW-Man7	Man7	Man7	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GS		100	200	545.788	783.499	0.696603314		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man7.srt.dp.rg.bam	ind10
11	DW-Man6	Man6	Man6	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	23.338	1605.89	0.014532751		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man6.srt.dp.rg.bam	ind11
12	DW-Nkw3	Nkw3	Nkw3	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	32.626	1976.823	0.01650426		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw3.srt.dp.rg.bam	ind12
13	DW-Man5	Man5	Man5	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	20.115	1710.297	0.011761115		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man5.srt.dp.rg.bam	ind13
14	DW-Man12	Man12	Man12	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	24.873	1966.014	0.012651487		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man12.srt.dp.rg.bam	ind14
15	DW-Man10	Man10	Man10	Mankessim	coastal_savannah	Gutter	Small urban	Gardening	2	5.28066	1.01755	M	An. gambiae	GG		100	100	24.915	1585.874	0.01571058		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Man10.srt.dp.rg.bam	ind15
16	DW-Mam6	Mam6	Mam6	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	539.007	1489.505	0.361869883		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam6.srt.dp.rg.bam	ind16
17	DW-Nkw7	Nkw7	Nkw7	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	32.099	2502.027	0.012829198		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw7.srt.dp.rg.bam	ind17
18	DW-Mam4	Mam4	Mam4	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	207.325	428.844	0.483450859		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam4.srt.dp.rg.bam	ind18
19	DW-Mam10	Mam10	Mam10	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	685.243	734.19	0.933331971		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam10.srt.dp.rg.bam	ind19
20	DW-Mam15	Mam15	Mam15	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	642.139	1148.205	0.559254663		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam15.srt.dp.rg.bam	ind20
21	DW-Kof20	Kof20	Kof20	Koforidua	deciduous_forest	Roadside	Urban	Gardening	2	6.15469	0.27029	S	An. gambiae	GG		100	100	11.472	2251.322	0.005095673		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Kof20.srt.dp.rg.bam	ind21
22	DW-Kof16	Kof16	Kof16	Koforidua	deciduous_forest	Roadside	Urban	Gardening	2	6.15469	0.27029	S	An. gambiae	GS		100	200	754.435	981.08	0.768984181		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Kof16.srt.dp.rg.bam	ind22
23	DW-Kof12	Kof12	Kof12	Koforidua	deciduous_forest	Roadside	Urban	Gardening	2	6.15469	0.27029	S	An. gambiae	GG		100	100	27.125	2290.304	0.011843406		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Kof12.srt.dp.rg.bam	ind23
24	74-DW-Mad59	Mad59	Mad59	Madina	coastal_savannah	Roadside	Urban	Gardening	11	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/74-DW-Mad59.srt.dp.rg.bam	ind24
25	DW-Enc3	Enc3	Enc3	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	2	5.8232	2.822917	M	An. gambiae	GG		100	100	32.26	3059.929	0.010542728		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc3.srt.dp.rg.bam	ind25
26	73-DW-Mad58	Mad58	Mad58	Madina	coastal_savannah	Roadside	Urban	Gardening	10	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/73-DW-Mad58.srt.dp.rg.bam	ind26
27	138-DW-NeA-84	NeA.84	NeA.84	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	M	An. gambiae	GG	N	NA	NA	272.824	3138.919	0.086916547		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/138-DW-NeA-84.srt.dp.rg.bam	ind27
28	72-DW-Mad57	Mad57	Mad57	Madina	coastal_savannah	Roadside	Urban	Gardening	9	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/72-DW-Mad57.srt.dp.rg.bam	ind28
29	71-DW-Mad56	Mad56	Mad56	Madina	coastal_savannah	Roadside	Urban	Gardening	8	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/71-DW-Mad56.srt.dp.rg.bam	ind29
